[2, 2]: 1
[3, 3]: 1
[4, 5]: 2
[6, 7]: 2
[8, 11]: 4
[12, 13]: 2
[14, 17]: 4
[18, 19]: 2
[20, 23]: 4
[24, 29]: 6
[30, 31]: 2
[32, 37]: 6
[38, 41]: 4
[42, 43]: 2
[44, 47]: 4
[48, 53]: 6
[54, 59]: 6
[60, 61]: 2
[62, 67]: 6
[68, 71]: 4
[72, 73]: 2
[74, 79]: 6
[80, 83]: 4
[84, 89]: 6
[90, 97]: 8
[98, 101]: 4
[102, 103]: 2
[104, 107]: 4
[108, 109]: 2
[110, 113]: 4
[114, 127]: 14
[128, 131]: 4
[132, 137]: 6
[138, 139]: 2
[140, 149]: 10
[150, 151]: 2
[152, 157]: 6
[158, 163]: 6
[164, 167]: 4
[168, 173]: 6
[174, 179]: 6
[180, 181]: 2
[182, 191]: 10
[192, 193]: 2
[194, 197]: 4
[198, 199]: 2
[200, 211]: 12
[212, 223]: 12
[224, 227]: 4
[228, 229]: 2
[230, 233]: 4
[234, 239]: 6
[240, 241]: 2
[242, 251]: 10
[252, 257]: 6
[258, 263]: 6
[264, 269]: 6
[270, 271]: 2
[272, 277]: 6
[278, 281]: 4
[282, 283]: 2
[284, 293]: 10
[294, 307]: 14
[308, 311]: 4
[312, 313]: 2
[314, 317]: 4
[318, 331]: 14
[332, 337]: 6
[338, 347]: 10
[348, 349]: 2
[350, 353]: 4
[354, 359]: 6
[360, 367]: 8
[368, 373]: 6
[374, 379]: 6
[380, 383]: 4
[384, 389]: 6
[390, 397]: 8
[398, 401]: 4
[402, 409]: 8
[410, 419]: 10
[420, 421]: 2
[422, 431]: 10
[432, 433]: 2
[434, 439]: 6
[440, 443]: 4
[444, 449]: 6
[450, 457]: 8
[458, 461]: 4
[462, 463]: 2
[464, 467]: 4
[468, 479]: 12
[480, 487]: 8
[488, 491]: 4
[492, 499]: 8
[500, 503]: 4
[504, 509]: 6
[510, 521]: 12
[522, 523]: 2
[524, 541]: 18
[542, 547]: 6
[548, 557]: 10
[558, 563]: 6
[564, 569]: 6
[570, 571]: 2
[572, 577]: 6
[578, 587]: 10
[588, 593]: 6
[594, 599]: 6
[600, 601]: 2
[602, 607]: 6
[608, 613]: 6
[614, 617]: 4
[618, 619]: 2
[620, 631]: 12
[632, 641]: 10
[642, 643]: 2
[644, 647]: 4
[648, 653]: 6
[654, 659]: 6
[660, 661]: 2
[662, 673]: 12
[674, 677]: 4
[678, 683]: 6
[684, 691]: 8
[692, 701]: 10
[702, 709]: 8
[710, 719]: 10
[720, 727]: 8
[728, 733]: 6
[734, 739]: 6
[740, 743]: 4
[744, 751]: 8
[752, 757]: 6
[758, 761]: 4
[762, 769]: 8
[770, 773]: 4
[774, 787]: 14
[788, 797]: 10
[798, 809]: 12
[810, 811]: 2
[812, 821]: 10
[822, 823]: 2
[824, 827]: 4
[828, 829]: 2
[830, 839]: 10
[840, 853]: 14
[854, 857]: 4
[858, 859]: 2
[860, 863]: 4
[864, 877]: 14
[878, 881]: 4
[882, 883]: 2
[884, 887]: 4
[888, 907]: 20
[908, 911]: 4
[912, 919]: 8
[920, 929]: 10
[930, 937]: 8
[938, 941]: 4
[942, 947]: 6
[948, 953]: 6
[954, 967]: 14
[968, 971]: 4
[972, 977]: 6
[978, 983]: 6
[984, 991]: 8
[992, 997]: 6
[998, 1009]: 12
[1010, 1013]: 4
[1014, 1019]: 6
[1020, 1021]: 2
[1022, 1031]: 10
[1032, 1033]: 2
[1034, 1039]: 6
[1040, 1049]: 10
[1050, 1051]: 2
[1052, 1061]: 10
[1062, 1063]: 2
[1064, 1069]: 6
[1070, 1087]: 18
[1088, 1091]: 4
[1092, 1093]: 2
[1094, 1097]: 4
[1098, 1103]: 6
[1104, 1109]: 6
[1110, 1117]: 8
[1118, 1123]: 6
[1124, 1129]: 6
[1130, 1151]: 22
[1152, 1153]: 2
[1154, 1163]: 10
[1164, 1171]: 8
[1172, 1181]: 10
[1182, 1187]: 6
[1188, 1193]: 6
[1194, 1201]: 8
[1202, 1213]: 12
[1214, 1217]: 4
[1218, 1223]: 6
[1224, 1229]: 6
[1230, 1231]: 2
[1232, 1237]: 6
[1238, 1249]: 12
[1250, 1259]: 10
[1260, 1277]: 18
[1278, 1279]: 2
[1280, 1283]: 4
[1284, 1289]: 6
[1290, 1291]: 2
[1292, 1297]: 6
[1298, 1301]: 4
[1302, 1303]: 2
[1304, 1307]: 4
[1308, 1319]: 12
[1320, 1321]: 2
[1322, 1327]: 6
[1328, 1361]: 34
[1362, 1367]: 6
[1368, 1373]: 6
